Create date,Stage Date - Project Launch,Associated Contact,Target Launch Date,Kickoff Call,Close date,Pipeline,Stage Date - Project Initiation,Ticket status,Stage Date - Execution,Time to first agent email reply (HH:mm:ss),Associated Company,Stage Date - Closure Phase,Associated Company (Primary),Response time (HH:mm:ss),Ticket ID,Time to close (HH:mm:ss),Associated Deal,Library index approved,Training: General Overview,Latest Milestone,Training: Deployment/User Management Training,Requirements for the Trial,Training: Sym Building 101,Last modified date,Trial End Date,Training: Sym Building 201,Stage Date - Converted Won,Latest Milestone Update Date,Ticket name,Trial Overview,Trial Start Date,1st Syms presented for review,Project Launch Day,Training: Reporting,Construction of 1st Sym begun,duration
2024-06-11 19:18:00,2023-12-14,Contact_5cc0b8b8,2024-07-08,2024-04-24,2024-04-30 10:56:00,Project Success Plan,2024-06-11,Execution Phase,2024-07-19,15 days 16:24:56,Company_059fd31c,2024-09-20,Company_059fd31c,15 days 16:24:56,2825124370,0 days 00:00:00,Deal_66eece2d,Yes,2023-11-29,Deployment Plan Approved,2024-09-23,Coaching; Onboarding,2024-09-23,2025-02-14 13:39:00,2024-10-31,2023-11-17,2025-01-14,2024-06-27,Ticket_3e27946d,Customer is looking to use Symtrain for performance improvement.,2024-04-12,2023-11-03,2023-12-13,2024-09-23,2024-05-07,247.0
2025-01-07 09:54:00,2023-12-14,Contact_80c528fe,2023-09-08,2025-01-08,2024-04-30 10:56:00,Project Success Plan,2025-01-07,Execution Phase,2025-02-19,0 days 00:02:44,Company_c37219b0,2024-09-20,Company_c37219b0,0 days 00:02:44,18708942877,0 days 00:00:00,Deal_48df1ecc,No,2023-11-29,Library Index Approved,2024-09-23,Onboarding,2024-09-23,2025-02-20 15:17:00,2025-05-31,2023-11-17,2025-01-14,2023-11-24,Ticket_b620f1f0,Will be assisting customer to achieve their goals.,2025-01-08,2023-11-03,2023-12-13,2024-09-23,2025-02-12,44.0
2024-04-12 12:24:00,2023-12-14,Contact_cd2080c7,2024-04-12,2024-04-12,2024-11-08 11:28:00,Project Success Plan,2024-04-01,Lost,2024-04-12,0 days 01:30:23,Company_10718585,2024-09-20,Company_ced7599c,0 days 01:30:23,2599763331,210 days 00:04:28,Deal_8129ca84,Yes,2023-11-29,Deployment Plan Approved,2024-09-23,Assessment,2024-09-23,2025-02-14 13:39:00,2024-06-21,2023-11-17,2025-01-14,2024-05-24,Ticket_978608ca,NDR Recruiting Instance,2024-04-15,2023-11-03,2023-12-13,2024-09-23,2024-04-12,308.0
2024-05-20 12:56:00,2024-06-21,Contact_1e8731ad,2024-06-03,2024-08-13,2024-08-16 11:31:00,Project Success Plan,2024-05-20,Converted-Won,2024-07-19,0 days 00:02:44,Company_d5d73b63,2024-09-20,Company_d5d73b63,0 days 00:02:44,2743618052,87 days 22:35:26,Deal_d5d73b63,Yes,2024-05-20,Library Index Approved,2024-05-23,Onboarding,2024-05-31,2025-02-14 13:39:00,2024-05-13,2024-05-31,2024-08-16,2023-11-24,Ticket_4a60bd02,Customer already signed the contract and kickoff has been completed as well,2024-05-01,2024-06-05,2024-06-18,2024-06-14,2023-10-02,270.0
2025-01-07 16:06:00,2023-12-14,Contact_6e8c00e0,2023-09-08,2025-01-22,2024-04-30 10:56:00,Project Success Plan,2025-01-15,Execution Phase,2025-02-11,37 days 21:12:40,Company_51341cd5,2024-09-20,Company_51341cd5,37 days 21:12:40,18740456283,0 days 00:00:00,Deal_48df1ecc,Yes,2023-11-29,Library Index Approved,2024-09-23,Assessment; Coaching,2024-09-23,2025-02-20 14:29:00,2025-07-31,2023-11-17,2025-01-14,2023-11-24,Ticket_51341cd5,Will be assisting cx in improving the KPIs.,2025-01-08,2023-11-03,2023-12-13,2024-09-23,2025-01-20,43.0
2024-04-10 20:28:00,2024-07-21,Contact_d4d73bf9,2023-09-08,2024-08-13,2024-11-19 08:36:00,Project Success Plan,2024-04-01,Lost,2024-07-19,0 days 00:02:44,Company_cad2d0c7,2024-11-19,Company_b5b7ed1e,0 days 00:02:44,2593770597,222 days 13:07:15,Deal_a1f0b1cd,Yes,2024-05-08,Library Index Approved,2024-09-23,Onboarding,2024-05-15,2025-02-14 13:39:00,2024-09-06,2024-05-15,2025-01-14,2023-11-24,Ticket_ac7cc23d,McLeod is in discussion to implement Symtrain for their customers,2024-03-06,2023-11-03,2024-06-24,2024-09-23,2023-10-02,309.0
2023-08-01 15:17:00,2023-12-14,Contact_c98a9fd2,2023-09-18,2023-06-13,2023-12-14 14:01:00,Project Success Plan,2024-04-01,Converted-Won,2024-07-19,9 days 23:50:32,Company_c4f7ba4e,2024-09-20,Company_c4f7ba4e,9 days 23:50:32,1891053939,134 days 23:44:10,Deal_48df1ecc,Yes,2023-08-18,Kickoff Call,2023-08-29,Coaching,2023-09-08,2025-02-14 13:39:00,2024-12-31,2023-10-01,2023-12-14,2023-11-24,Ticket_734a67d5,Laurel Road using for onboarding new agents,2024-04-15,2023-11-03,2023-07-21,2023-08-29,2023-10-02,562.0
2024-10-28 16:53:00,2024-12-24,Contact_4cbe7f47,2023-09-08,2024-11-11,2024-04-30 10:56:00,Project Success Plan,2024-10-28,Monitoring and Control Phase,2024-12-04,78 days 22:45:22,Company_4b1b6780,2024-09-20,Company_4b1b6780,78 days 22:45:22,15808675736,0 days 00:00:00,Deal_4b1b6780,Yes,2024-12-23,Library Index Approved,2024-12-04,Coaching; Onboarding,2024-12-03,2025-02-19 08:38:00,2025-01-01,2024-12-03,2025-01-14,2023-11-24,Ticket_1353f818,"No trial, but they do have a 90-day money back guarantee.",2024-10-28,2024-12-03,2024-12-23,2024-12-04,2024-11-18,113.0
2024-05-21 11:22:00,2023-12-14,Contact_80789466,2024-05-21,2024-08-13,2024-04-30 10:56:00,Project Success Plan,2024-05-21,Project Initiation Phase,2024-07-19,24 days 04:19:44,Company_4e22c870,2024-09-20,Company_4e22c870,24 days 04:19:44,2747561853,0 days 00:00:00,Deal_7d15a2e7,Yes,2023-11-29,Library Index Approved,2024-09-23,Onboarding,2024-09-23,2025-02-14 13:41:00,2024-05-22,2023-11-17,2025-01-14,2023-11-24,Ticket_45228c60,Remove this or ticket description as duplicated,2024-05-21,2023-11-03,2023-12-13,2024-09-23,2023-10-02,269.0
2023-07-01 15:19:00,2023-12-14,Contact_5a02e807,2023-09-08,2024-08-13,2024-02-15 13:57:00,Project Success Plan,2024-04-01,Lost,2024-07-19,0 days 00:02:44,Company_44a7d876,2024-09-20,Company_44a7d876,0 days 00:02:44,1891053986,228 days 23:38:25,Deal_48df1ecc,Yes,2023-11-29,Library Index Approved,2024-09-23,Onboarding,2024-09-23,2025-02-14 13:39:00,2024-12-31,2023-11-17,2025-01-14,2023-11-24,Ticket_7b2f39d1,Launching with both Onboarding small classes and coaching existing agents. Looking to evaluate and measure through end of year.,2024-04-15,2023-11-03,2023-12-13,2024-09-23,2023-10-02,593.0
